	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
297	RBG36D1	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Fibrobacteres	2.68E-05
298	RBG36D2	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Fibrobacteres	0.000147202
299	RBG36D3	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Fibrobacteres	2.68E-05
300	RBG36D4	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Fibrobacteres	6.69E-05
309	RBG5D1	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Fibrobacteres	9.25E-05
310	RBG5D2	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Fibrobacteres	4.00E-05
311	RBG5D3	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Fibrobacteres	7.96E-05
312	RBG5D4	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Fibrobacteres	5.28E-05
321	RG15D1	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Fibrobacteres	2.69E-05
322	RG15D2	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Fibrobacteres	8.35E-05
323	RG15D3	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Fibrobacteres	8.96E-05
324	RG15D4	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Fibrobacteres	0.00012119
325	RG28D1	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Fibrobacteres	0.000101016
326	RG28D2	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Fibrobacteres	0.000653978
327	RG28D3	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Fibrobacteres	0.000588259
328	RG28D4	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Fibrobacteres	1.33E-05
333	RG36D1	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Fibrobacteres	1.36E-05
334	RG36D2	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Fibrobacteres	2.91E-05
335	RG36D3	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Fibrobacteres	3.04E-05
336	RG36D4	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Fibrobacteres	2.77E-05
345	RG5Z1	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Fibrobacteres	0.000274382
346	RG5Z2	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Fibrobacteres	0.000380704
347	RG5Z3	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Fibrobacteres	0.000887808
348	RG5Z4	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Fibrobacteres	0.000213693
357	RJG15D1	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Fibrobacteres	0.000173542
358	RJG15D2	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Fibrobacteres	4.01E-05
359	RJG15D3	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Fibrobacteres	2.66E-05
360	RJG15D4	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Fibrobacteres	0.000106938
361	RJG28D1	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Fibrobacteres	1.33E-05
362	RJG28D2	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Fibrobacteres	0.000120144
363	RJG28D3	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Fibrobacteres	9.96E-05
364	RJG28D4	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Fibrobacteres	9.36E-05
369	RJG36D1	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Fibrobacteres	9.91E-05
370	RJG36D2	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Fibrobacteres	4.04E-05
371	RJG36D3	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Fibrobacteres	7.99E-05
372	RJG36D4	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Fibrobacteres	2.67E-05
381	RJG5D1	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Fibrobacteres	5.31E-05
382	RJG5D2	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Fibrobacteres	0.000132979
383	RJG5D3	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Fibrobacteres	0.000227349
384	RJG5D4	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Fibrobacteres	0.000159676
385	G01	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.00147247
386	G02	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.000533224
387	G03	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.000717784
388	G04	Soil	Soil	GE	G0	Soil	0	Latescibacteria	0.000659839
389	G151	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.001876938
390	G152	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.00288398
391	G153	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.001407296
392	G154	Soil	Soil	GE	G15	Soil	15	Latescibacteria	0.003584951
393	G281	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.0019663
394	G282	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.002581473
395	G283	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.004834551
396	G284	Soil	Soil	GE	G28	Soil	28	Latescibacteria	0.001920892
397	G361	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.002756896
398	G362	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.007155749
399	G363	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.006246825
400	G364	Soil	Soil	GE	G36	Soil	36	Latescibacteria	0.004126855
401	G51	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.002891148
402	G52	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.00043269
403	G53	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.00037715
404	G54	Soil	Soil	GE	G5	Soil	5	Latescibacteria	0.00182749
413	RBG15D1	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Latescibacteria	0.000382364
414	RBG15D2	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Latescibacteria	0.000290004
415	RBG15D3	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Latescibacteria	0.000292658
416	RBG15D4	Rhizoplane	Stipa grandis	GE	RB.G15D	dominant	15	Latescibacteria	0.000250981
417	RBG28D1	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Latescibacteria	0.00026713
418	RBG28D2	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Latescibacteria	0.000240163
419	RBG28D3	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Latescibacteria	9.33E-05
420	RBG28D4	Rhizoplane	Stipa grandis	GE	RB.G28D	dominant	28	Latescibacteria	0.000216012
425	RBG36D1	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Latescibacteria	0.000521851
426	RBG36D2	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Latescibacteria	0.000548664
427	RBG36D3	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Latescibacteria	0.000401676
428	RBG36D4	Rhizoplane	Stipa grandis	GE	RB.G36D	non-d	36	Latescibacteria	0.000525855
437	RBG5D1	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Latescibacteria	0.000118941
438	RBG5D2	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Latescibacteria	0.000186475
439	RBG5D3	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Latescibacteria	0.000397941
440	RBG5D4	Rhizoplane	Stipa grandis	GE	RB.G5D	non-d	5	Latescibacteria	0.000171726
449	RG15D1	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Latescibacteria	1.35E-05
450	RG15D2	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Latescibacteria	0.000194726
451	RG15D3	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Latescibacteria	0.000149296
452	RG15D4	Endosphere	Stipa grandis	GE	R.G15D	dominant	15	Latescibacteria	0.000257529
453	RG28D1	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Latescibacteria	0.000245324
454	RG28D2	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Latescibacteria	0.000177119
455	RG28D3	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Latescibacteria	0.000136805
456	RG28D4	Endosphere	Stipa grandis	GE	R.G28D	dominant	28	Latescibacteria	0.000186416
461	RG36D1	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Latescibacteria	0.000257494
462	RG36D2	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Latescibacteria	2.73E-05
463	RG36D3	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Latescibacteria	0.000106472
464	RG36D4	Endosphere	Stipa grandis	GE	R.G36D	non-d	36	Latescibacteria	0.00011061
473	RG5Z1	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Latescibacteria	6.86E-05
474	RG5Z2	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Latescibacteria	0.000135966
475	RG5Z3	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Latescibacteria	0.000136586
476	RG5Z4	Endosphere	Stipa grandis	GE	R.G5Z	non-d	5	Latescibacteria	9.97E-05
485	RJG15D1	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Latescibacteria	0.000600721
486	RJG15D2	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Latescibacteria	0.000547704
487	RJG15D3	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Latescibacteria	0.000505299
488	RJG15D4	Rhizosphere	Stipa grandis	GE	RJ.G15D	dominant	15	Latescibacteria	0.000534688
489	RJG28D1	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Latescibacteria	0.000146407
490	RJG28D2	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Latescibacteria	0.000320384
491	RJG28D3	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Latescibacteria	0.000233396
492	RJG28D4	Rhizosphere	Stipa grandis	GE	RJ.G28D	dominant	28	Latescibacteria	0.000240713
497	RJG36D1	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Latescibacteria	0.002444019
498	RJG36D2	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Latescibacteria	0.000740382
499	RJG36D3	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Latescibacteria	0.00010656
500	RJG36D4	Rhizosphere	Stipa grandis	GE	RJ.G36D	non-d	36	Latescibacteria	0.000800107
509	RJG5D1	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Latescibacteria	0.00010624
510	RJG5D2	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Latescibacteria	0.000106383
511	RJG5D3	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Latescibacteria	0.000227349
512	RJG5D4	Rhizosphere	Stipa grandis	GE	RJ.G5D	non-d	5	Latescibacteria	0.000399191
513	G01	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004376127
514	G02	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004211102
515	G03	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004700783
516	G04	Soil	Soil	GE	G0	Soil	0	Chloroflexi	0.004330195
517	G151	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.004882759
518	G152	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.003611714
519	G153	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.007787949
520	G154	Soil	Soil	GE	G15	Soil	15	Chloroflexi	0.002859905
