	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
224	RJL15S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	BRC1	9.34E-05
229	RJL25S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	BRC1	7.09E-05
230	RJL25S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	BRC1	6.67E-05
231	RJL25S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	BRC1	5.30E-05
232	RJL25S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	BRC1	9.29E-05
237	RJL40S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	BRC1	5.32E-05
238	RJL40S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	BRC1	7.99E-05
239	RJL40S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	BRC1	7.99E-05
240	RJL40S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	BRC1	6.64E-05
245	RL15S1	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	BRC1	9.39E-05
246	RL15S2	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	BRC1	3.08E-05
247	RL15S3	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	BRC1	3.20E-05
248	RL15S4	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	BRC1	1.58E-05
253	RL25S1	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	BRC1	4.82E-05
254	RL25S2	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	BRC1	1.37E-05
255	RL25S3	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	BRC1	1.46E-05
256	RL25S4	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	BRC1	1.28E-05
261	RL40S1	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	BRC1	4.35E-05
262	RL40S2	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	BRC1	0.000222982
263	RL40S3	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	BRC1	1.56E-05
264	RL40S4	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	BRC1	3.31E-05
265	L151	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.004681839
266	L152	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.003587346
267	L153	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.004214156
268	L154	Soil	Soil	AL	L15	NA	15	Latescibacteria	0.00400137
269	L21	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.006603061
270	L22	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.007234918
271	L23	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.008237692
272	L24	Soil	Soil	AL	L2	NA	2	Latescibacteria	0.000583273
273	L251	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.009031611
274	L252	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.006328067
275	L253	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.004149952
276	L254	Soil	Soil	AL	L25	NA	25	Latescibacteria	0.006707822
277	L401	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.005039645
278	L402	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.002562279
279	L403	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.003337161
280	L404	Soil	Soil	AL	L40	NA	40	Latescibacteria	0.002129351
285	RBL15S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Latescibacteria	9.32E-05
286	RBL15S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Latescibacteria	0.000338359
287	RBL15S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Latescibacteria	0.000268947
288	RBL15S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L15S	NA	15	Latescibacteria	0.000199998
293	RBL25S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Latescibacteria	0.000613423
294	RBL25S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Latescibacteria	0.000211999
295	RBL25S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Latescibacteria	0.000372558
296	RBL25S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Latescibacteria	0.000383938
301	RBL40S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Latescibacteria	0.000171826
302	RBL40S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Latescibacteria	0.000317658
