	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
271	G363	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	0.000205939
272	G364	Soil	Soil	GE	G36	Soil	36	Fibrobacteres	4.20E-05
273	G51	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	0.000128495
274	G52	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	9.47E-05
275	G53	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	0.000727361
276	G54	Soil	Soil	GE	G5	Soil	5	Fibrobacteres	0.000174687
277	RBG0C1	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Fibrobacteres	0.000593284
278	RBG0C2	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Fibrobacteres	0.000224832
279	RBG0C3	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Fibrobacteres	0.000741643
280	RBG0C4	Rhizoplane	Stipa bungeana	GE	RB.G0C	dominant	0	Fibrobacteres	0.00031671
281	RBG15C1	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Fibrobacteres	9.33E-05
282	RBG15C2	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Fibrobacteres	0.000119063
283	RBG15C3	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Fibrobacteres	2.66E-05
284	RBG15C4	Rhizoplane	Stipa bungeana	GE	RB.G15C	non-d	15	Fibrobacteres	1.33E-05
305	RBG5C1	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Fibrobacteres	0.000239444
306	RBG5C2	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Fibrobacteres	0.00015921
307	RBG5C3	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Fibrobacteres	0.00019872
308	RBG5C4	Rhizoplane	Stipa bungeana	GE	RB.G5C	dominant	5	Fibrobacteres	0.000213168
313	RG0C1	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Fibrobacteres	0.0004301
314	RG0C2	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Fibrobacteres	0.000175503
315	RG0C3	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Fibrobacteres	0.000771916
316	RG0C4	Endosphere	Stipa bungeana	GE	R.G0C	dominant	0	Fibrobacteres	0.000202914
317	RG15C1	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Fibrobacteres	2.70E-05
318	RG15C2	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Fibrobacteres	0.000200296
319	RG15C3	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Fibrobacteres	3.09E-05
320	RG15C4	Endosphere	Stipa bungeana	GE	R.G15C	non-d	15	Fibrobacteres	0.000391673
341	RG5C1	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Fibrobacteres	1.46E-05
342	RG5C2	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Fibrobacteres	2.99E-05
343	RG5C3	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Fibrobacteres	0.000415881
344	RG5C4	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Fibrobacteres	0.000121855
